task_id,epoch,step,train_loss,train_accuracy
0,1,1,0.228385,0.931667
0,2,2,0.105407,0.967850
0,3,3,0.075203,0.976283
0,4,4,0.057045,0.982183
0,5,5,0.048727,0.984500
1,1,1001,0.121708,0.968767
1,2,1002,0.119860,0.974117
1,3,1003,0.128978,0.976050
1,4,1004,0.136136,0.976917
1,5,1005,0.140273,0.977433
2,1,2001,0.392163,0.945433
2,2,2002,0.335273,0.953133
2,3,2003,0.308103,0.957167
2,4,2004,0.292655,0.959983
2,5,2005,0.281445,0.962133
3,1,3001,0.573746,0.923383
3,2,3002,0.477388,0.933733
3,3,3003,0.424672,0.941050
3,4,3004,0.390514,0.945267
3,5,3005,0.368164,0.949117
4,1,4001,0.693303,0.904133
4,2,4002,0.566192,0.917283
4,3,4003,0.497521,0.925633
4,4,4004,0.449971,0.931800
4,5,4005,0.418893,0.936183
