task_id,epoch,step,train_loss,train_accuracy
0,1,1,2.047587,0.445217
0,2,2,0.893709,0.799083
0,3,3,0.510856,0.862367
0,4,4,0.417304,0.883617
0,5,5,0.372454,0.895483
1,1,1001,0.402181,0.884217
1,2,1002,0.356261,0.899600
1,3,1003,0.331126,0.906817
1,4,1004,0.312057,0.912283
1,5,1005,0.295958,0.916567
2,1,2001,0.365892,0.893767
2,2,2002,0.316023,0.910250
2,3,2003,0.289558,0.918067
2,4,2004,0.270239,0.923700
2,5,2005,0.254740,0.927767
3,1,3001,0.317751,0.908333
3,2,3002,0.271075,0.922567
3,3,3003,0.247490,0.929817
3,4,3004,0.230943,0.934283
3,5,3005,0.217803,0.938150
4,1,4001,0.281015,0.917067
4,2,4002,0.240801,0.929917
4,3,4003,0.220029,0.936583
4,4,4004,0.205383,0.940633
4,5,4005,0.193831,0.944133
