task_id,epoch,step,train_loss,train_accuracy
0,1,1,2.072503,0.494300
0,2,2,0.926958,0.781833
0,3,3,0.516668,0.861033
0,4,4,0.411543,0.886183
0,5,5,0.365735,0.896700
1,1,1001,0.381095,0.890500
1,2,1002,0.337751,0.903217
1,3,1003,0.315402,0.910183
1,4,1004,0.298880,0.914783
1,5,1005,0.285140,0.918883
2,1,2001,0.344797,0.898750
2,2,2002,0.301553,0.913183
2,3,2003,0.279751,0.919100
2,4,2004,0.263661,0.924400
2,5,2005,0.250516,0.928683
3,1,3001,0.309315,0.908600
3,2,3002,0.267694,0.922483
3,3,3003,0.246599,0.929200
3,4,3004,0.231349,0.933017
3,5,3005,0.218921,0.936650
4,1,4001,0.281227,0.915767
4,2,4002,0.242134,0.929133
4,3,4003,0.221933,0.935450
4,4,4004,0.207416,0.939850
4,5,4005,0.196150,0.943217
