task_id,epoch,step,train_loss,train_accuracy
0,1,1,0.551721,0.868535
0,2,2,0.153657,0.996605
0,3,3,0.043683,0.997079
0,4,4,0.024206,0.997236
0,5,5,0.017339,0.997631
1,1,11,0.595178,0.819340
1,2,12,0.285449,0.942923
1,3,13,0.152386,0.957068
1,4,14,0.120412,0.962445
1,5,15,0.107134,0.965423
2,1,22,0.483953,0.799787
2,2,23,0.234114,0.915475
2,3,24,0.136777,0.955962
2,4,25,0.095415,0.970079
2,5,26,0.074633,0.977093
3,1,33,0.397152,0.925060
3,2,34,0.084279,0.993516
3,3,35,0.038247,0.996224
3,4,36,0.025497,0.996635
3,5,37,0.019662,0.997291
4,1,44,0.329562,0.921610
4,2,45,0.163788,0.952034
4,3,46,0.127253,0.959746
4,4,47,0.109063,0.964746
4,5,48,0.097096,0.968644
